DGP,Learner,n,p,K,n_train,rho_fold
Interaction,Gradient Boosting,500,100,5,400.0,0.25
Interaction,Gradient Boosting,500,100,10,450.0,0.222
Interaction,Gradient Boosting,500,150,2,250.0,0.6
Interaction,Gradient Boosting,500,150,5,400.0,0.375
Interaction,Gradient Boosting,500,150,10,450.0,0.333
Interaction,Gradient Boosting,500,300,2,250.0,1.2
Interaction,Gradient Boosting,500,300,5,400.0,0.75
Interaction,Gradient Boosting,500,300,10,450.0,0.667
Interaction,Gradient Boosting,1000,25,2,500.0,0.05
Interaction,Gradient Boosting,1000,25,5,800.0,0.031
Interaction,Gradient Boosting,1000,25,10,900.0,0.028
Interaction,Gradient Boosting,1000,50,2,500.0,0.1
Interaction,Gradient Boosting,1000,50,5,800.0,0.062
Interaction,Gradient Boosting,1000,50,10,900.0,0.056
Interaction,Gradient Boosting,1000,100,2,500.0,0.2
Interaction,Gradient Boosting,1000,100,5,800.0,0.125
Interaction,Gradient Boosting,1000,100,10,900.0,0.111
Interaction,Gradient Boosting,1000,150,2,500.0,0.3
Interaction,Gradient Boosting,1000,150,5,800.0,0.188
Interaction,Gradient Boosting,1000,150,10,900.0,0.167
Interaction,Gradient Boosting,1000,300,2,500.0,0.6
Interaction,Gradient Boosting,1000,300,5,800.0,0.375
Interaction,Gradient Boosting,1000,300,10,900.0,0.333
Interaction,Lasso,250,25,2,125.0,0.2
Interaction,Lasso,250,25,5,200.0,0.125
Interaction,Lasso,250,25,10,225.0,0.111
Interaction,Lasso,250,50,2,125.0,0.4
Interaction,Lasso,250,50,5,200.0,0.25
Interaction,Lasso,250,50,10,225.0,0.222
Interaction,Lasso,250,100,2,125.0,0.8
Interaction,Lasso,250,100,5,200.0,0.5
Interaction,Lasso,250,100,10,225.0,0.444
Interaction,Lasso,250,150,2,125.0,1.2
Interaction,Lasso,250,150,5,200.0,0.75
Interaction,Lasso,250,150,10,225.0,0.667
Interaction,Lasso,250,300,2,125.0,2.4
Interaction,Lasso,250,300,5,200.0,1.5
Interaction,Lasso,250,300,10,225.0,1.333
Interaction,Lasso,500,25,2,250.0,0.1
Interaction,Lasso,500,25,5,400.0,0.062
Interaction,Lasso,500,25,10,450.0,0.056
Interaction,Lasso,500,50,2,250.0,0.2
Interaction,Lasso,500,50,5,400.0,0.125
Interaction,Lasso,500,50,10,450.0,0.111
Interaction,Lasso,500,100,2,250.0,0.4
Interaction,Lasso,500,100,5,400.0,0.25
Interaction,Lasso,500,100,10,450.0,0.222
Interaction,Lasso,500,150,2,250.0,0.6
Interaction,Lasso,500,150,5,400.0,0.375
Interaction,Lasso,500,150,10,450.0,0.333
Interaction,Lasso,500,300,2,250.0,1.2
Interaction,Lasso,500,300,5,400.0,0.75
Interaction,Lasso,500,300,10,450.0,0.667
Interaction,Lasso,1000,25,2,500.0,0.05
Interaction,Lasso,1000,25,5,800.0,0.031
Interaction,Lasso,1000,25,10,900.0,0.028
Interaction,Lasso,1000,50,2,500.0,0.1
Interaction,Lasso,1000,50,5,800.0,0.062
Interaction,Lasso,1000,50,10,900.0,0.056
Interaction,Lasso,1000,100,2,500.0,0.2
Interaction,Lasso,1000,100,5,800.0,0.125
Interaction,Lasso,1000,100,10,900.0,0.111
Interaction,Lasso,1000,150,2,500.0,0.3
Interaction,Lasso,1000,150,5,800.0,0.188
Interaction,Lasso,1000,150,10,900.0,0.167
Interaction,Lasso,1000,300,2,500.0,0.6
Interaction,Lasso,1000,300,5,800.0,0.375
Interaction,Lasso,1000,300,10,900.0,0.333
Interaction,OLS,250,25,2,125.0,0.2
Interaction,OLS,250,25,5,200.0,0.125
Interaction,OLS,250,25,10,225.0,0.111
Interaction,OLS,250,50,2,125.0,0.4
Interaction,OLS,250,50,5,200.0,0.25
Interaction,OLS,250,50,10,225.0,0.222
Interaction,OLS,250,100,2,125.0,0.8
Interaction,OLS,250,100,5,200.0,0.5
Interaction,OLS,250,100,10,225.0,0.444
Interaction,OLS,250,150,2,125.0,1.2
Interaction,OLS,250,150,5,200.0,0.75
Interaction,OLS,250,150,10,225.0,0.667
Interaction,OLS,250,300,2,125.0,2.4
Interaction,OLS,250,300,5,200.0,1.5
Interaction,OLS,250,300,10,225.0,1.333
Interaction,OLS,500,25,2,250.0,0.1
Interaction,OLS,500,25,5,400.0,0.062
Interaction,OLS,500,25,10,450.0,0.056
Interaction,OLS,500,50,2,250.0,0.2
Interaction,OLS,500,50,5,400.0,0.125
Interaction,OLS,500,50,10,450.0,0.111
Interaction,OLS,500,100,2,250.0,0.4
Interaction,OLS,500,100,5,400.0,0.25
Interaction,OLS,500,100,10,450.0,0.222
Interaction,OLS,500,150,2,250.0,0.6
Interaction,OLS,500,150,5,400.0,0.375
Interaction,OLS,500,150,10,450.0,0.333
Interaction,OLS,500,300,2,250.0,1.2
Interaction,OLS,500,300,5,400.0,0.75
Interaction,OLS,500,300,10,450.0,0.667
Interaction,OLS,1000,25,2,500.0,0.05
Interaction,OLS,1000,25,5,800.0,0.031
Interaction,OLS,1000,25,10,900.0,0.028
Interaction,OLS,1000,50,2,500.0,0.1
Interaction,OLS,1000,50,5,800.0,0.062
Interaction,OLS,1000,50,10,900.0,0.056
Interaction,OLS,1000,100,2,500.0,0.2
Interaction,OLS,1000,100,5,800.0,0.125
Interaction,OLS,1000,100,10,900.0,0.111
Interaction,OLS,1000,150,2,500.0,0.3
Interaction,OLS,1000,150,5,800.0,0.188
Interaction,OLS,1000,150,10,900.0,0.167
Interaction,OLS,1000,300,2,500.0,0.6
Interaction,OLS,1000,300,5,800.0,0.375
Interaction,OLS,1000,300,10,900.0,0.333
Interaction,Random Forest,250,25,2,125.0,0.2
Interaction,Random Forest,250,25,5,200.0,0.125
Interaction,Random Forest,250,25,10,225.0,0.111
Interaction,Random Forest,250,50,2,125.0,0.4
Interaction,Random Forest,250,50,5,200.0,0.25
Interaction,Random Forest,250,50,10,225.0,0.222
Interaction,Random Forest,250,100,2,125.0,0.8
Interaction,Random Forest,250,100,5,200.0,0.5
Interaction,Random Forest,250,100,10,225.0,0.444
Interaction,Random Forest,250,150,2,125.0,1.2
Interaction,Random Forest,250,150,5,200.0,0.75
Interaction,Random Forest,250,150,10,225.0,0.667
Interaction,Random Forest,250,300,2,125.0,2.4
Interaction,Random Forest,250,300,5,200.0,1.5
Interaction,Random Forest,250,300,10,225.0,1.333
Interaction,Random Forest,500,25,2,250.0,0.1
Interaction,Random Forest,500,25,5,400.0,0.062
Interaction,Random Forest,500,25,10,450.0,0.056
Interaction,Random Forest,500,50,2,250.0,0.2
Interaction,Random Forest,500,50,5,400.0,0.125
Interaction,Random Forest,500,50,10,450.0,0.111
Interaction,Random Forest,500,100,2,250.0,0.4
Interaction,Random Forest,500,100,5,400.0,0.25
Interaction,Random Forest,500,100,10,450.0,0.222
Interaction,Random Forest,500,150,2,250.0,0.6
Interaction,Random Forest,500,150,5,400.0,0.375
Interaction,Random Forest,500,150,10,450.0,0.333
Interaction,Random Forest,500,300,2,250.0,1.2
Interaction,Random Forest,500,300,5,400.0,0.75
Interaction,Random Forest,500,300,10,450.0,0.667
Interaction,Random Forest,1000,25,2,500.0,0.05
Interaction,Random Forest,1000,25,5,800.0,0.031
Interaction,Random Forest,1000,25,10,900.0,0.028
Interaction,Random Forest,1000,50,2,500.0,0.1
Interaction,Random Forest,1000,50,5,800.0,0.062
Interaction,Random Forest,1000,50,10,900.0,0.056
Interaction,Random Forest,1000,100,2,500.0,0.2
Interaction,Random Forest,1000,100,5,800.0,0.125
Interaction,Random Forest,1000,100,10,900.0,0.111
Interaction,Random Forest,1000,150,2,500.0,0.3
Interaction,Random Forest,1000,150,5,800.0,0.188
Interaction,Random Forest,1000,150,10,900.0,0.167
Interaction,Random Forest,1000,300,2,500.0,0.6
Interaction,Random Forest,1000,300,5,800.0,0.375
Interaction,Random Forest,1000,300,10,900.0,0.333
Linear,Elastic Net,250,25,2,125.0,0.2
Linear,Elastic Net,250,25,5,200.0,0.125
Linear,Elastic Net,250,25,10,225.0,0.111
Linear,Elastic Net,250,50,2,125.0,0.4
Linear,Elastic Net,250,50,5,200.0,0.25
Linear,Elastic Net,250,50,10,225.0,0.222
Linear,Elastic Net,250,100,2,125.0,0.8
Linear,Elastic Net,250,100,5,200.0,0.5
Linear,Elastic Net,250,100,10,225.0,0.444
Linear,Elastic Net,250,150,2,125.0,1.2
Linear,Elastic Net,250,150,5,200.0,0.75
Linear,Elastic Net,250,150,10,225.0,0.667
Linear,Elastic Net,250,300,2,125.0,2.4
Linear,Elastic Net,250,300,5,200.0,1.5
Linear,Elastic Net,250,300,10,225.0,1.333
Linear,Elastic Net,500,25,2,250.0,0.1
Linear,Elastic Net,500,25,5,400.0,0.062
Linear,Elastic Net,500,25,10,450.0,0.056
Linear,Elastic Net,500,50,2,250.0,0.2
Linear,Elastic Net,500,50,5,400.0,0.125
Linear,Elastic Net,500,50,10,450.0,0.111
Linear,Elastic Net,500,100,2,250.0,0.4
Linear,Elastic Net,500,100,5,400.0,0.25
Linear,Elastic Net,500,100,10,450.0,0.222
Linear,Elastic Net,500,150,2,250.0,0.6
Linear,Elastic Net,500,150,5,400.0,0.375
Linear,Elastic Net,500,150,10,450.0,0.333
Linear,Elastic Net,500,300,2,250.0,1.2
Linear,Elastic Net,500,300,5,400.0,0.75
Linear,Elastic Net,500,300,10,450.0,0.667
Linear,Elastic Net,1000,25,2,500.0,0.05
Linear,Elastic Net,1000,25,5,800.0,0.031
Linear,Elastic Net,1000,25,10,900.0,0.028
Linear,Elastic Net,1000,50,2,500.0,0.1
Linear,Elastic Net,1000,50,5,800.0,0.062
Linear,Elastic Net,1000,50,10,900.0,0.056
Linear,Elastic Net,1000,100,2,500.0,0.2
Linear,Elastic Net,1000,100,5,800.0,0.125
Linear,Elastic Net,1000,100,10,900.0,0.111
Linear,Elastic Net,1000,150,2,500.0,0.3
Linear,Elastic Net,1000,150,5,800.0,0.188
Linear,Elastic Net,1000,150,10,900.0,0.167
Linear,Elastic Net,1000,300,2,500.0,0.6
Linear,Elastic Net,1000,300,5,800.0,0.375
Linear,Elastic Net,1000,300,10,900.0,0.333
Linear,Gradient Boosting,250,25,2,125.0,0.2
Linear,Gradient Boosting,250,25,5,200.0,0.125
Linear,Gradient Boosting,250,25,10,225.0,0.111
Linear,Gradient Boosting,250,50,2,125.0,0.4
Linear,Gradient Boosting,250,50,5,200.0,0.25
Linear,Gradient Boosting,250,50,10,225.0,0.222
Linear,Gradient Boosting,250,100,2,125.0,0.8
Linear,Gradient Boosting,250,100,5,200.0,0.5
Linear,Gradient Boosting,250,100,10,225.0,0.444
Linear,Gradient Boosting,250,150,2,125.0,1.2
Linear,Gradient Boosting,250,150,5,200.0,0.75
Linear,Gradient Boosting,250,150,10,225.0,0.667
Linear,Gradient Boosting,250,300,2,125.0,2.4
Linear,Gradient Boosting,250,300,5,200.0,1.5
Linear,Gradient Boosting,250,300,10,225.0,1.333
Linear,Gradient Boosting,500,25,2,250.0,0.1
Linear,Gradient Boosting,500,25,5,400.0,0.062
Linear,Gradient Boosting,500,25,10,450.0,0.056
Linear,Gradient Boosting,500,50,2,250.0,0.2
Linear,Gradient Boosting,500,50,5,400.0,0.125
Linear,Gradient Boosting,500,50,10,450.0,0.111
Linear,Gradient Boosting,500,100,2,250.0,0.4
Linear,Gradient Boosting,500,100,5,400.0,0.25
Linear,Gradient Boosting,500,100,10,450.0,0.222
Linear,Gradient Boosting,500,150,2,250.0,0.6
Linear,Gradient Boosting,500,150,5,400.0,0.375
Linear,Gradient Boosting,500,150,10,450.0,0.333
Linear,Gradient Boosting,500,300,2,250.0,1.2
Linear,Gradient Boosting,500,300,5,400.0,0.75
Linear,Gradient Boosting,500,300,10,450.0,0.667
Linear,Gradient Boosting,1000,25,2,500.0,0.05
Linear,Gradient Boosting,1000,25,5,800.0,0.031
Linear,Gradient Boosting,1000,25,10,900.0,0.028
Linear,Gradient Boosting,1000,50,2,500.0,0.1
Linear,Gradient Boosting,1000,50,5,800.0,0.062
Linear,Gradient Boosting,1000,50,10,900.0,0.056
Linear,Gradient Boosting,1000,100,2,500.0,0.2
Linear,Gradient Boosting,1000,100,5,800.0,0.125
Linear,Gradient Boosting,1000,100,10,900.0,0.111
Linear,Gradient Boosting,1000,150,2,500.0,0.3
Linear,Gradient Boosting,1000,150,5,800.0,0.188
Linear,Gradient Boosting,1000,150,10,900.0,0.167
Linear,Gradient Boosting,1000,300,2,500.0,0.6
Linear,Gradient Boosting,1000,300,5,800.0,0.375
Linear,Gradient Boosting,1000,300,10,900.0,0.333
Linear,Lasso,250,25,2,125.0,0.2
Linear,Lasso,250,25,5,200.0,0.125
Linear,Lasso,250,25,10,225.0,0.111
Linear,Lasso,250,50,2,125.0,0.4
Linear,Lasso,250,50,5,200.0,0.25
Linear,Lasso,250,50,10,225.0,0.222
Linear,Lasso,250,100,2,125.0,0.8
Linear,Lasso,250,100,5,200.0,0.5
Linear,Lasso,250,100,10,225.0,0.444
Linear,Lasso,250,150,2,125.0,1.2
Linear,Lasso,250,150,5,200.0,0.75
Linear,Lasso,250,150,10,225.0,0.667
Linear,Lasso,250,300,2,125.0,2.4
Linear,Lasso,250,300,5,200.0,1.5
Linear,Lasso,250,300,10,225.0,1.333
Linear,Lasso,500,25,2,250.0,0.1
Linear,Lasso,500,25,5,400.0,0.062
Linear,Lasso,500,25,10,450.0,0.056
Linear,Lasso,500,50,2,250.0,0.2
Linear,Lasso,500,50,5,400.0,0.125
Linear,Lasso,500,50,10,450.0,0.111
Linear,Lasso,500,100,2,250.0,0.4
Linear,Lasso,500,100,5,400.0,0.25
Linear,Lasso,500,100,10,450.0,0.222
Linear,Lasso,500,150,2,250.0,0.6
Linear,Lasso,500,150,5,400.0,0.375
Linear,Lasso,500,150,10,450.0,0.333
Linear,Lasso,500,300,2,250.0,1.2
Linear,Lasso,500,300,5,400.0,0.75
Linear,Lasso,500,300,10,450.0,0.667
Linear,Lasso,1000,25,2,500.0,0.05
Linear,Lasso,1000,25,5,800.0,0.031
Linear,Lasso,1000,25,10,900.0,0.028
Linear,Lasso,1000,50,2,500.0,0.1
Linear,Lasso,1000,50,5,800.0,0.062
Linear,Lasso,1000,50,10,900.0,0.056
Linear,Lasso,1000,100,2,500.0,0.2
Linear,Lasso,1000,100,5,800.0,0.125
Linear,Lasso,1000,100,10,900.0,0.111
Linear,Lasso,1000,150,2,500.0,0.3
Linear,Lasso,1000,150,5,800.0,0.188
Linear,Lasso,1000,150,10,900.0,0.167
Linear,Lasso,1000,300,2,500.0,0.6
Linear,Lasso,1000,300,5,800.0,0.375
Linear,Lasso,1000,300,10,900.0,0.333
Linear,OLS,250,25,2,125.0,0.2
Linear,OLS,250,25,5,200.0,0.125
Linear,OLS,250,25,10,225.0,0.111
Linear,OLS,250,50,2,125.0,0.4
Linear,OLS,250,50,5,200.0,0.25
Linear,OLS,250,50,10,225.0,0.222
Linear,OLS,250,100,2,125.0,0.8
Linear,OLS,250,100,5,200.0,0.5
Linear,OLS,250,100,10,225.0,0.444
Linear,OLS,250,150,2,125.0,1.2
Linear,OLS,250,150,5,200.0,0.75
Linear,OLS,250,150,10,225.0,0.667
Linear,OLS,250,300,2,125.0,2.4
Linear,OLS,250,300,5,200.0,1.5
Linear,OLS,250,300,10,225.0,1.333
Linear,OLS,500,25,2,250.0,0.1
Linear,OLS,500,25,5,400.0,0.062
Linear,OLS,500,25,10,450.0,0.056
Linear,OLS,500,50,2,250.0,0.2
Linear,OLS,500,50,5,400.0,0.125
Linear,OLS,500,50,10,450.0,0.111
Linear,OLS,500,100,2,250.0,0.4
Linear,OLS,500,100,5,400.0,0.25
Linear,OLS,500,100,10,450.0,0.222
Linear,OLS,500,150,2,250.0,0.6
Linear,OLS,500,150,5,400.0,0.375
Linear,OLS,500,150,10,450.0,0.333
Linear,OLS,500,300,2,250.0,1.2
Linear,OLS,500,300,5,400.0,0.75
Linear,OLS,500,300,10,450.0,0.667
Linear,OLS,1000,25,2,500.0,0.05
Linear,OLS,1000,25,5,800.0,0.031
Linear,OLS,1000,25,10,900.0,0.028
Linear,OLS,1000,50,2,500.0,0.1
Linear,OLS,1000,50,5,800.0,0.062
Linear,OLS,1000,50,10,900.0,0.056
Linear,OLS,1000,100,2,500.0,0.2
Linear,OLS,1000,100,5,800.0,0.125
Linear,OLS,1000,100,10,900.0,0.111
Linear,OLS,1000,150,2,500.0,0.3
Linear,OLS,1000,150,5,800.0,0.188
Linear,OLS,1000,150,10,900.0,0.167
Linear,OLS,1000,300,2,500.0,0.6
Linear,OLS,1000,300,5,800.0,0.375
Linear,OLS,1000,300,10,900.0,0.333
Linear,Random Forest,250,25,2,125.0,0.2
Linear,Random Forest,250,25,5,200.0,0.125
Linear,Random Forest,250,25,10,225.0,0.111
Linear,Random Forest,250,50,2,125.0,0.4
Linear,Random Forest,250,50,5,200.0,0.25
Linear,Random Forest,250,50,10,225.0,0.222
Linear,Random Forest,250,100,2,125.0,0.8
Linear,Random Forest,250,100,5,200.0,0.5
Linear,Random Forest,250,100,10,225.0,0.444
Linear,Random Forest,250,150,2,125.0,1.2
Linear,Random Forest,250,150,5,200.0,0.75
Linear,Random Forest,250,150,10,225.0,0.667
Linear,Random Forest,250,300,2,125.0,2.4
Linear,Random Forest,250,300,5,200.0,1.5
Linear,Random Forest,250,300,10,225.0,1.333
Linear,Random Forest,500,25,2,250.0,0.1
Linear,Random Forest,500,25,5,400.0,0.062
Linear,Random Forest,500,25,10,450.0,0.056
Linear,Random Forest,500,50,2,250.0,0.2
Linear,Random Forest,500,50,5,400.0,0.125
Linear,Random Forest,500,50,10,450.0,0.111
Linear,Random Forest,500,100,2,250.0,0.4
Linear,Random Forest,500,100,5,400.0,0.25
Linear,Random Forest,500,100,10,450.0,0.222
Linear,Random Forest,500,150,2,250.0,0.6
Linear,Random Forest,500,150,5,400.0,0.375
Linear,Random Forest,500,150,10,450.0,0.333
Linear,Random Forest,500,300,2,250.0,1.2
Linear,Random Forest,500,300,5,400.0,0.75
Linear,Random Forest,500,300,10,450.0,0.667
Linear,Random Forest,1000,25,2,500.0,0.05
Linear,Random Forest,1000,25,5,800.0,0.031
Linear,Random Forest,1000,25,10,900.0,0.028
Linear,Random Forest,1000,50,2,500.0,0.1
Linear,Random Forest,1000,50,5,800.0,0.062
Linear,Random Forest,1000,50,10,900.0,0.056
Linear,Random Forest,1000,100,2,500.0,0.2
Linear,Random Forest,1000,100,5,800.0,0.125
Linear,Random Forest,1000,100,10,900.0,0.111
Linear,Random Forest,1000,150,2,500.0,0.3
Linear,Random Forest,1000,150,5,800.0,0.188
Linear,Random Forest,1000,150,10,900.0,0.167
Linear,Random Forest,1000,300,2,500.0,0.6
Linear,Random Forest,1000,300,5,800.0,0.375
Linear,Random Forest,1000,300,10,900.0,0.333
Quadratic,Elastic Net,250,25,2,125.0,0.2
Quadratic,Elastic Net,250,25,5,200.0,0.125
Quadratic,Elastic Net,250,25,10,225.0,0.111
Quadratic,Elastic Net,250,50,2,125.0,0.4
Quadratic,Elastic Net,250,50,5,200.0,0.25
Quadratic,Elastic Net,250,50,10,225.0,0.222
Quadratic,Elastic Net,250,100,2,125.0,0.8
Quadratic,Elastic Net,250,100,5,200.0,0.5
Quadratic,Elastic Net,250,100,10,225.0,0.444
Quadratic,Elastic Net,250,150,2,125.0,1.2
Quadratic,Elastic Net,250,150,5,200.0,0.75
Quadratic,Elastic Net,250,150,10,225.0,0.667
Quadratic,Elastic Net,250,300,2,125.0,2.4
Quadratic,Elastic Net,250,300,5,200.0,1.5
Quadratic,Elastic Net,250,300,10,225.0,1.333
Quadratic,Elastic Net,500,25,2,250.0,0.1
Quadratic,Elastic Net,500,25,5,400.0,0.062
Quadratic,Elastic Net,500,25,10,450.0,0.056
Quadratic,Elastic Net,500,50,2,250.0,0.2
Quadratic,Elastic Net,500,50,5,400.0,0.125
Quadratic,Elastic Net,500,50,10,450.0,0.111
Quadratic,Elastic Net,500,100,2,250.0,0.4
Quadratic,Elastic Net,500,100,5,400.0,0.25
Quadratic,Elastic Net,500,100,10,450.0,0.222
Quadratic,Elastic Net,500,150,2,250.0,0.6
Quadratic,Elastic Net,500,150,5,400.0,0.375
Quadratic,Elastic Net,500,150,10,450.0,0.333
Quadratic,Elastic Net,500,300,2,250.0,1.2
Quadratic,Elastic Net,500,300,5,400.0,0.75
Quadratic,Elastic Net,500,300,10,450.0,0.667
Quadratic,Elastic Net,1000,25,2,500.0,0.05
Quadratic,Elastic Net,1000,25,5,800.0,0.031
Quadratic,Elastic Net,1000,25,10,900.0,0.028
Quadratic,Elastic Net,1000,50,2,500.0,0.1
Quadratic,Elastic Net,1000,50,5,800.0,0.062
Quadratic,Elastic Net,1000,50,10,900.0,0.056
Quadratic,Elastic Net,1000,100,2,500.0,0.2
Quadratic,Elastic Net,1000,100,5,800.0,0.125
Quadratic,Elastic Net,1000,100,10,900.0,0.111
Quadratic,Elastic Net,1000,150,2,500.0,0.3
Quadratic,Elastic Net,1000,150,5,800.0,0.188
Quadratic,Elastic Net,1000,150,10,900.0,0.167
Quadratic,Elastic Net,1000,300,2,500.0,0.6
Quadratic,Elastic Net,1000,300,5,800.0,0.375
Quadratic,Elastic Net,1000,300,10,900.0,0.333
Quadratic,Gradient Boosting,250,25,2,125.0,0.2
Quadratic,Gradient Boosting,250,25,5,200.0,0.125
Quadratic,Gradient Boosting,250,25,10,225.0,0.111
Quadratic,Gradient Boosting,250,50,2,125.0,0.4
Quadratic,Gradient Boosting,250,50,5,200.0,0.25
Quadratic,Gradient Boosting,250,50,10,225.0,0.222
Quadratic,Gradient Boosting,250,100,2,125.0,0.8
Quadratic,Gradient Boosting,250,100,5,200.0,0.5
Quadratic,Gradient Boosting,250,100,10,225.0,0.444
Quadratic,Gradient Boosting,250,150,2,125.0,1.2
Quadratic,Gradient Boosting,250,150,5,200.0,0.75
Quadratic,Gradient Boosting,250,150,10,225.0,0.667
Quadratic,Gradient Boosting,250,300,2,125.0,2.4
Quadratic,Gradient Boosting,250,300,5,200.0,1.5
Quadratic,Gradient Boosting,250,300,10,225.0,1.333
Quadratic,Gradient Boosting,500,25,2,250.0,0.1
Quadratic,Gradient Boosting,500,25,5,400.0,0.062
Quadratic,Gradient Boosting,500,25,10,450.0,0.056
Quadratic,Gradient Boosting,500,50,2,250.0,0.2
Quadratic,Gradient Boosting,500,50,5,400.0,0.125
Quadratic,Gradient Boosting,500,50,10,450.0,0.111
Quadratic,Gradient Boosting,500,100,2,250.0,0.4
Quadratic,Gradient Boosting,500,100,5,400.0,0.25
Quadratic,Gradient Boosting,500,100,10,450.0,0.222
Quadratic,Gradient Boosting,500,150,2,250.0,0.6
Quadratic,Gradient Boosting,500,150,5,400.0,0.375
Quadratic,Gradient Boosting,500,150,10,450.0,0.333
Quadratic,Gradient Boosting,500,300,2,250.0,1.2
Quadratic,Gradient Boosting,500,300,5,400.0,0.75
Quadratic,Gradient Boosting,500,300,10,450.0,0.667
Quadratic,Gradient Boosting,1000,25,2,500.0,0.05
Quadratic,Gradient Boosting,1000,25,5,800.0,0.031
Quadratic,Gradient Boosting,1000,25,10,900.0,0.028
Quadratic,Gradient Boosting,1000,50,2,500.0,0.1
Quadratic,Gradient Boosting,1000,50,5,800.0,0.062
Quadratic,Gradient Boosting,1000,50,10,900.0,0.056
Quadratic,Gradient Boosting,1000,100,2,500.0,0.2
Quadratic,Gradient Boosting,1000,100,5,800.0,0.125
Quadratic,Gradient Boosting,1000,100,10,900.0,0.111
Quadratic,Gradient Boosting,1000,150,2,500.0,0.3
Quadratic,Gradient Boosting,1000,150,5,800.0,0.188
Quadratic,Gradient Boosting,1000,150,10,900.0,0.167
Quadratic,Gradient Boosting,1000,300,2,500.0,0.6
Quadratic,Gradient Boosting,1000,300,5,800.0,0.375
Quadratic,Gradient Boosting,1000,300,10,900.0,0.333
Quadratic,Lasso,250,25,2,125.0,0.2
Quadratic,Lasso,250,25,5,200.0,0.125
Quadratic,Lasso,250,25,10,225.0,0.111
Quadratic,Lasso,250,50,2,125.0,0.4
Quadratic,Lasso,250,50,5,200.0,0.25
