"net_tfa","e401","age","inc","fsize","educ","pira","hown","marr","db","twoearn"
42600,0,42,79650,3,12,1,1,1,0,1
-200,0,42,6297,2,13,0,1,0,0,0
950,0,54,20172,2,17,0,1,1,0,0
-980,0,56,29529,4,12,0,0,1,0,0
2400,0,61,4146,1,12,0,0,0,0,0
-4700,0,33,21972,2,12,0,0,0,1,0
0,0,42,13440,4,14,0,0,0,0,0
-2800,0,62,16029,5,8,0,1,1,0,0
-4475,0,29,43173,4,16,0,1,1,0,0
0,0,28,11376,1,13,0,0,0,0,0
0,0,33,30600,6,9,0,0,1,0,0
7559,0,35,27603,4,12,0,1,1,0,0
-800,0,42,9120,5,10,0,1,0,0,0
-1100,0,61,17460,3,8,0,0,1,0,1
-6590,0,44,9474,5,12,0,1,1,0,0
-3475,0,37,33366,2,14,0,0,0,0,0
2825,0,30,4860,1,15,0,0,0,0,0
11500,0,43,55281,4,13,0,1,1,0,1
-1501,0,35,43134,4,13,0,1,1,0,1
-7131,0,38,23850,4,9,0,1,1,0,1
51299,0,46,52440,3,13,1,0,1,0,1
99350,0,62,26880,3,12,0,1,1,0,0
-950,0,37,30405,4,12,0,1,0,1,0
33569,0,44,32205,5,16,1,1,1,0,1
400,0,30,21036,3,12,0,1,1,0,0
0,0,27,12930,1,16,0,0,0,1,0
4799,0,38,43020,5,12,0,1,1,0,1
0,0,38,8160,4,6,0,1,1,0,0
5,0,33,19200,1,13,0,0,0,1,0
-3386,0,29,16902,7,1,0,0,1,0,0
13176,0,33,52476,1,16,0,1,0,1,0
0,0,25,27120,4,12,0,1,1,0,0
-150,0,36,12636,7,16,0,1,1,0,0
3000,0,58,13440,3,12,0,0,0,0,0
30814,0,35,57828,2,12,0,1,1,0,1
0,0,27,12954,5,12,0,1,1,0,0
250,0,57,39312,1,16,0,1,0,0,0
0,0,45,2400,3,12,0,0,1,0,0
-600,0,27,64980,1,13,0,0,0,1,0
-50,0,60,17544,2,12,0,1,0,0,0
100,0,46,14040,3,12,0,0,1,0,0
20,0,30,19980,5,9,0,1,1,0,1
-2100,0,25,24120,1,12,0,0,0,0,0
8000,0,28,24051,4,12,0,0,1,0,0
11700,0,40,52350,2,12,1,1,1,0,1
800,0,35,21012,1,12,0,0,0,0,0
1000,0,40,56994,3,12,0,1,1,0,1
0,0,30,26394,1,12,0,0,0,0,0
0,0,30,11220,3,3,0,0,0,0,0
-1310,0,46,29232,1,14,0,0,0,1,0
-250,0,56,29700,3,12,0,1,1,0,0
11946,0,45,68457,5,16,1,1,1,0,1
-4300,0,36,10944,4,13,0,0,1,0,1
31699,0,28,39336,3,16,0,1,1,0,0
11000,0,61,28050,2,16,1,1,1,0,0
400,0,60,23244,1,12,0,1,0,0,0
15645,0,29,31548,6,15,0,1,1,0,0
-9716,0,33,24840,7,12,0,0,1,0,1
3078,0,47,66021,4,14,0,0,1,1,1
17496,0,58,51981,5,15,0,1,1,0,0
149,0,32,19659,5,11,0,1,1,0,0
215121,0,61,45444,2,13,1,1,1,0,0
300,0,64,9642,1,10,0,0,0,0,0
3550,0,57,34410,3,15,0,1,1,0,1
-1900,0,29,26784,5,13,0,1,1,0,1
11661,0,40,24261,4,12,1,1,1,0,1
-21450,0,41,26901,2,15,0,0,0,0,0
8750,0,43,32106,2,12,1,1,0,0,0
30902,0,44,46815,3,17,1,1,0,1,0
2750,0,32,43560,4,13,0,1,1,0,0
7299,0,42,47265,1,18,0,0,0,1,0
5600,0,26,58260,3,12,0,1,1,0,1
9950,0,33,22560,1,18,0,0,0,0,0
2250,0,26,40608,2,12,1,1,1,0,1
26600,0,38,80550,2,18,1,1,1,0,1
-4960,0,27,17004,3,13,0,0,0,0,0
4000,0,25,34170,1,16,0,0,0,0,0
600,0,56,24819,3,12,0,1,1,0,0
-300,0,55,10800,3,12,0,1,0,0,0
0,0,29,26514,2,15,0,0,1,1,0
900,0,44,15198,3,6,0,1,0,0,0
9645,0,33,22050,2,14,0,0,0,0,0
-400,0,63,11877,3,12,0,0,0,0,0
499,0,40,18030,3,12,0,0,0,0,0
30,0,56,7920,1,12,0,1,0,0,0
-500,0,50,19302,6,12,0,1,1,1,1
900,0,52,35409,2,6,1,1,1,0,1
5010,0,50,32940,3,12,0,0,1,1,0
3500,0,40,21315,2,13,1,1,0,0,0
48800,0,26,86820,1,18,1,0,0,0,0
-3000,0,26,3450,1,8,0,0,1,0,0
20949,0,26,27975,3,12,0,1,1,0,0
-2000,0,40,3696,3,12,0,1,0,0,0
9800,0,28,56082,2,17,0,0,1,0,1
2030,0,47,18069,3,12,0,1,0,1,0
0,0,37,22950,7,7,0,0,1,0,1
20283,0,63,27540,2,12,0,1,1,0,0
-1400,0,31,17604,1,12,0,0,0,0,0
-1700,0,29,39051,1,16,0,0,0,0,0
2758,0,34,96174,5,16,0,0,1,0,1
2499,0,28,47070,2,12,0,1,1,0,1
41,0,48,37848,4,17,0,1,1,0,1
-13144,0,44,21000,7,18,0,0,0,0,0
-650,0,54,4686,3,11,0,1,0,0,0
800,0,42,24600,1,12,0,1,0,0,0
52200,0,56,22464,2,12,1,1,1,0,1
-8000,0,37,28500,3,12,0,1,0,0,0
0,0,54,10440,2,8,0,0,0,0,0
-700,0,59,13332,2,10,0,1,1,0,0
0,0,40,17136,4,7,0,0,0,0,0
48528,0,58,63360,2,13,1,1,1,0,1
10200,0,46,27978,3,16,1,1,0,1,0
-7800,0,28,43146,4,14,0,0,1,0,1
-1795,0,48,10338,3,12,0,1,1,0,0
2000,0,42,19152,2,18,0,1,0,1,0
-1200,0,27,58320,3,12,1,0,1,1,1
3325,0,43,11460,1,12,0,1,0,0,0
-400,0,26,13818,1,14,0,0,0,1,0
-2430,0,35,26640,3,12,0,1,1,0,1
13050,0,29,17079,1,14,0,0,0,0,0
-16000,0,34,57021,3,14,0,0,1,0,0
29000,0,29,12690,1,18,1,0,0,0,0
-3900,0,27,58446,2,16,0,0,1,0,1
-3001,0,35,34836,5,14,0,1,1,1,1
1400,0,63,25548,4,12,0,1,0,0,0
0,0,30,13110,3,11,0,0,0,0,0
7229,0,46,18918,2,12,1,1,1,1,0
21149,0,40,39201,1,12,1,1,0,0,0
-8000,0,39,36984,1,18,1,1,0,1,0
144749,0,61,34737,2,12,0,1,1,0,0
1200,0,32,29700,3,12,0,1,0,0,0
-10550,0,44,22248,8,6,0,1,1,0,1
6049,0,44,67602,7,16,1,1,1,1,1
-21070,0,27,33453,3,16,0,1,1,1,1
2900,0,42,69375,1,16,0,0,0,0,0
50,0,40,42633,5,16,0,1,1,0,1
40900,0,45,70755,2,17,1,1,1,0,1
0,0,25,13320,2,11,0,0,0,0,0
1000,0,34,102996,3,18,0,1,1,0,1
-11635,0,37,34803,5,11,0,1,1,0,1
0,0,30,6471,4,14,0,0,0,0,0
1250,0,37,19455,1,12,1,0,0,1,0
43411,0,61,39081,2,10,1,1,1,0,0
0,0,51,15000,1,12,0,0,0,0,0
230,0,35,24144,4,14,0,0,1,0,0
-23990,0,48,52206,7,12,0,1,1,0,1
55175,0,38,23877,2,12,1,0,1,0,0
-7100,0,43,59208,4,12,0,1,1,0,1
46500,0,33,41712,4,12,0,1,1,0,0
1370,0,49,46791,2,12,0,1,1,0,1
63648,0,40,54261,5,16,1,1,1,0,1
0,0,29,16491,5,15,0,0,1,0,0
-1875,0,27,13215,1,13,0,0,0,0,0
62550,0,37,53835,4,12,0,1,1,1,1
-3160,0,42,29298,4,15,0,1,1,1,1
0,0,25,16278,3,12,0,0,0,0,0
1046,0,27,10857,1,12,0,1,0,0,0
599,0,39,47937,4,12,0,1,1,0,1
-1551,0,52,16590,2,12,0,1,0,0,0
-3801,0,30,44424,2,12,0,0,1,0,1
49,0,25,11733,2,12,0,0,1,0,0
-2500,0,29,36885,4,12,0,1,1,0,1
75299,0,58,33510,2,12,0,1,1,0,0
2325,0,37,19440,1,12,1,1,0,1,0
29000,0,48,59256,2,17,1,0,0,0,0
7000,0,45,50328,2,14,1,1,0,0,0
55499,0,55,31014,2,16,1,1,1,1,0
-2801,0,53,40926,3,12,0,1,1,0,1
-13930,0,44,15603,2,7,0,1,1,0,0
1500,0,33,24060,1,12,0,1,0,0,0
-4900,0,48,12513,1,16,0,0,0,0,0
-1700,0,28,11688,3,12,0,0,0,0,0
16069,0,39,45762,4,17,1,1,1,0,0
22350,0,37,55560,4,13,1,1,1,0,1
7000,0,28,30879,1,16,1,1,0,0,0
-1800,0,28,27030,1,16,0,0,0,0,0
32148,0,63,87720,3,18,1,1,1,1,1
89774,0,61,29982,1,12,1,0,0,0,0
0,0,39,10350,4,12,0,0,0,0,0
749,0,35,16845,1,11,0,0,0,0,0
-5000,0,46,17100,1,13,0,1,0,0,0
500,0,29,44895,3,15,0,1,1,0,1
3446,0,47,30720,2,15,0,0,0,0,0
1770,0,27,29661,1,16,1,0,0,0,0
46447,0,48,73017,3,18,1,1,1,0,1
8649,0,36,65505,4,17,0,1,1,1,1
-1000,0,38,30540,4,11,0,1,1,0,1
0,0,37,9792,2,10,0,0,0,0,0
-13092,0,26,55311,2,18,0,0,1,1,1
0,0,25,26268,3,10,0,0,1,0,1
3720,0,60,2307,2,10,0,1,0,0,0
55023,0,64,53379,4,16,1,1,1,0,0
-22913,0,48,54504,3,12,0,0,1,0,0
2115,0,27,35205,5,11,0,0,1,0,0
0,0,28,9408,5,9,0,0,0,0,0
392,0,32,24840,3,7,0,0,1,0,1
-1935,0,56,22140,7,14,0,0,0,1,0
1499,0,46,56094,2,12,0,1,1,1,1
2325,0,30,7275,1,16,0,1,0,0,0
-33880,0,27,61125,2,16,0,0,1,0,1
7210,0,32,34452,3,13,0,1,1,0,1
0,0,39,13650,3,12,0,0,0,0,0
-4925,0,36,10185,5,12,0,0,1,0,1
24300,0,51,35847,1,12,1,1,0,1,0
0,0,49,16578,1,7,0,0,0,0,0
3000,0,35,24705,4,18,0,0,1,0,0
4325,0,25,36042,2,16,0,0,1,1,1
0,0,32,18756,2,12,0,1,0,0,0
0,0,25,3876,2,12,0,0,0,0,0
25000,0,40,70650,4,15,1,1,1,1,1
66808,0,64,28017,2,12,1,1,1,0,0
0,0,57,23280,1,12,0,0,0,1,0
9950,0,50,45015,6,12,1,1,1,1,1
99,0,54,26202,1,12,0,0,0,0,0
1500,0,36,17055,2,13,0,0,0,0,0
-7000,0,28,19770,4,12,0,1,1,1,1
-980,0,34,18573,5,13,0,0,1,0,0
300,0,43,18360,4,12,0,0,1,0,0
-501,0,45,15561,2,12,0,0,0,0,0
200,0,38,28143,4,12,0,1,1,0,1
900,0,30,33210,1,12,0,1,0,1,0
4100,0,49,13200,4,10,1,1,1,0,0
3750,0,49,25923,1,14,0,1,0,0,0
14899,0,63,41064,3,12,1,1,1,0,0
189400,0,58,39150,2,13,1,1,1,0,0
-300,0,46,2205,6,12,0,0,0,0,0
3450,0,33,43830,3,15,1,1,1,0,1
20418,0,51,17616,3,12,1,1,1,1,0
9850,0,43,27381,2,14,1,0,0,0,0
-2610,0,40,38760,5,14,0,1,1,0,1
20000,0,62,30381,2,11,0,1,1,0,0
-8651,0,55,27033,1,12,0,1,0,0,0
-84700,0,29,28149,4,13,0,0,1,0,0
-1751,0,32,41175,2,12,0,0,1,1,1
1500,0,42,24345,3,12,0,0,1,0,1
400,0,56,32376,2,12,0,1,1,0,0
249,0,31,14931,1,16,0,1,0,0,0
9998,0,49,39102,3,12,0,1,1,0,0
-7000,0,52,53955,4,12,0,1,1,0,1
37279,0,43,65820,2,14,1,1,1,1,1
-2475,0,30,22236,2,12,0,0,1,0,1
0,0,35,37548,5,12,0,1,1,0,1
4,0,47,17172,7,12,0,1,1,0,1
10029,0,30,21306,2,16,0,1,0,0,0
0,0,25,27030,1,12,0,1,0,1,0
4000,0,36,29160,6,12,0,1,1,0,0
-700,0,36,20280,5,10,0,1,1,0,1
5650,0,57,4680,1,18,0,0,0,1,0
2550,0,36,77940,4,15,0,1,1,0,1
-1400,0,28,22680,4,12,0,1,1,0,1
13828,0,62,31692,2,8,1,1,1,0,0
6600,0,44,37500,1,13,1,1,0,0,0
-7156,0,27,8826,1,13,0,1,0,0,0
21700,0,48,32325,3,12,1,1,1,1,0
-5226,0,48,11913,1,9,0,0,0,0,0
-40,0,49,15570,1,7,0,0,0,0,0
3172,0,43,29898,4,15,1,1,1,0,1
0,0,45,13428,1,15,0,0,0,0,0
7501,0,39,25770,2,17,0,0,1,0,1
27349,0,27,44640,3,16,0,1,1,0,0
-300,0,39,20760,2,12,0,1,1,0,1
-2550,0,31,12240,2,14,0,0,1,0,0
-1062,0,29,16236,3,14,0,1,0,0,0
4900,0,58,28440,2,15,0,1,1,0,0
-6400,0,26,36090,2,12,0,1,1,0,1
3450,0,50,27,3,16,0,1,1,0,0
1200,0,29,18540,3,14,0,1,1,0,1
110,0,28,41130,2,14,0,1,1,0,1
200,0,58,20490,4,12,0,1,1,0,1
-275,0,41,15642,2,12,0,1,0,1,0
0,0,52,14040,1,12,0,0,0,0,0
53699,0,55,54963,2,12,0,1,1,0,0
-1563,0,30,33219,2,12,0,0,1,0,0
27196,0,57,49509,1,18,0,1,0,0,0
-150,0,25,10161,1,15,0,0,0,0,0
5000,0,35,11628,3,17,0,1,0,0,0
22227,0,38,35247,1,12,1,0,0,1,0
225,0,41,39630,3,13,0,0,1,0,1
200,0,32,21399,1,10,0,0,0,0,0
8549,0,56,33477,4,12,1,0,1,0,0
4999,0,35,34647,1,15,0,0,0,0,0
66700,0,58,100329,3,15,0,1,1,0,1
550,0,31,20526,3,12,0,1,1,0,0
131350,0,43,73710,2,18,1,1,1,0,0
55600,0,59,47064,3,12,0,1,1,0,0
137000,0,39,54900,3,18,1,1,1,0,0
2999,0,56,16092,4,8,0,1,1,0,0
9004,0,42,28554,3,14,0,1,1,0,0
-3375,0,33,38136,4,14,0,1,1,0,1
-1200,0,40,24084,6,5,0,1,1,0,1
12726,0,38,85092,4,13,0,1,1,0,1
3399,0,36,15645,1,16,1,1,0,0,0
7200,0,46,35610,2,18,0,1,1,0,0
12000,0,25,44070,5,12,0,0,1,0,0
1000,0,36,14460,4,12,0,0,1,0,0
13239,0,62,30429,2,13,0,1,1,0,0
7347,0,44,44934,3,18,1,1,0,1,0
12400,0,31,23550,3,12,0,1,1,0,0
-1260,0,33,14280,5,10,0,1,1,0,0
36400,0,45,28875,2,12,1,1,0,1,0
-1200,0,56,37755,2,12,0,1,1,0,1
-465,0,35,8670,3,12,0,0,0,0,0
-3250,0,35,6000,2,13,0,1,1,0,0
-11400,0,28,21891,5,13,0,1,1,1,1
-3250,0,46,15144,3,10,0,1,0,0,0
-15047,0,31,7320,2,16,0,0,0,0,0
20,0,32,12243,1,12,0,0,0,0,0
182,0,32,10929,1,12,0,0,0,0,0
-7773,0,47,10590,3,12,0,1,0,0,0
50025,0,29,64560,2,16,0,0,1,1,1
1400,0,59,18936,3,8,0,1,1,1,0
88750,0,54,34035,1,16,1,1,0,1,0
-11351,0,35,16077,4,12,0,1,1,0,0
0,0,42,7470,3,4,0,0,0,0,0
0,0,51,16350,3,12,0,1,0,0,0
4600,0,32,50970,2,15,0,1,1,0,0
50,0,43,39612,2,12,0,1,1,0,1
2830,0,32,35832,4,18,0,1,1,1,1
-3440,0,28,19152,3,14,0,0,1,0,1
-1750,0,29,14892,2,14,0,1,1,0,1
-975,0,34,19362,5,12,0,1,1,0,0
2100,0,32,21306,1,14,0,1,0,0,0
1200,0,26,24348,2,13,0,1,1,1,1
23997,0,38,2661,1,18,0,0,0,0,0
0,0,41,12000,5,9,0,1,1,0,0
-3000,0,49,24882,3,11,0,1,1,1,1
-627,0,36,12750,3,10,0,0,1,0,0
5499,0,64,18090,1,9,1,0,0,1,0
13199,0,53,34191,4,12,1,1,1,0,0
122499,0,61,60150,2,18,0,1,0,0,0
8043,0,50,54981,2,12,0,1,1,0,1
-14800,0,44,15513,4,15,0,0,1,0,1
-2796,0,31,12816,7,10,0,0,1,0,0
1999,0,33,14520,1,12,0,0,0,0,0
-100,0,61,8382,2,12,0,1,1,0,0
20000,0,62,14100,3,12,0,1,1,0,0
3000,0,41,43410,4,12,0,0,1,0,1
149,0,28,15669,5,12,0,0,1,0,1
175999,0,63,61476,2,16,1,1,1,0,1
3100,0,30,30210,2,16,1,0,0,0,0
499,0,45,15780,2,10,0,1,0,1,0
-2000,0,27,8640,1,12,0,0,0,0,0
-4000,0,26,18000,1,18,0,0,0,0,0
-8400,0,31,46800,3,16,0,0,1,0,1
-4100,0,31,29025,1,13,0,0,0,0,0
-7000,0,32,59958,4,12,0,1,1,0,1
1000,0,28,25200,1,12,0,0,0,0,0
0,0,34,48900,4,12,0,1,1,0,1
-16122,0,47,23067,4,10,0,1,1,0,1
-1900,0,42,28350,5,12,0,0,1,0,1
0,0,45,50883,6,12,0,1,1,0,1
-1500,0,31,30324,4,12,0,1,1,0,0
-20,0,30,10272,1,12,0,0,0,0,0
12400,0,31,50388,2,15,0,1,1,0,1
199,0,44,22692,1,12,0,0,0,1,0
27150,0,40,42672,4,12,0,1,1,0,0
59,0,43,30333,3,14,0,1,0,0,0
-651,0,52,10968,4,9,0,1,1,0,0
-28200,0,33,6855,3,12,0,0,0,0,0
-7500,0,34,19890,1,12,0,0,0,0,0
9500,0,55,30954,2,12,1,1,1,0,1
-117200,0,39,14790,5,6,0,0,1,0,0
42800,0,53,32559,3,12,1,1,1,0,1
-3600,0,26,2025,1,16,0,0,0,0,0
-3000,0,39,48360,4,13,0,1,1,0,1
225000,0,38,71703,1,16,1,1,0,0,0
700,0,34,34800,3,10,0,0,1,0,1
400,0,64,36798,2,15,0,1,1,0,1
59498,0,46,64203,5,12,0,0,1,1,1
-5800,0,25,26610,1,16,0,0,0,0,0
200,0,41,12900,1,9,0,0,0,0,0
-220,0,56,12723,3,10,0,0,0,0,0
-12970,0,44,35034,4,14,0,1,1,0,1
800,0,45,26661,4,11,0,0,1,0,0
-11425,0,27,28809,3,14,0,0,1,0,0
-3800,0,44,34965,3,17,0,1,0,0,0
60400,0,43,103356,3,18,1,1,1,0,0
4999,0,49,41100,1,16,0,0,1,0,0
-300,0,61,17430,4,12,0,0,0,0,0
0,0,53,13770,3,3,0,1,1,0,0
0,0,52,6282,2,9,0,1,0,0,0
-1600,0,35,30804,1,16,0,0,0,0,0
100,0,36,25020,1,15,0,0,0,1,0
0,0,38,11040,4,12,0,0,0,0,0
50,0,29,16800,3,11,0,0,0,0,0
500,0,57,25008,3,3,0,0,1,0,1
0,0,26,21990,5,12,0,1,1,1,1
19940,0,33,74568,2,18,0,1,1,0,1
4175,0,36,63288,2,15,0,0,1,0,1
25450,0,55,55326,1,18,1,0,0,0,0
104500,0,42,36489,3,18,0,1,1,1,0
-27770,0,34,17022,1,18,0,0,0,0,0
99,0,43,36000,3,12,0,1,1,0,1
-200,0,28,26493,5,6,0,0,1,0,1
-8653,0,50,37437,2,13,0,1,1,1,1
4900,0,26,16860,1,14,0,1,0,0,0
8000,0,31,14880,1,16,0,0,0,0,0
-400,0,33,90306,4,17,0,1,1,1,1
0,0,44,3825,1,12,0,0,0,0,0
330,0,31,15300,3,12,0,0,1,0,0
110000,0,39,46791,4,16,1,0,1,0,0
-6200,0,38,20985,5,10,0,1,1,0,1
18499,0,52,26856,2,12,0,1,1,1,1
10500,0,38,41982,4,14,0,1,0,1,0
30050,0,46,38925,4,13,1,1,1,0,1
6750,0,36,22815,2,13,1,1,0,0,0
0,0,47,57924,4,12,0,0,1,0,0
2000,0,27,31308,1,12,0,0,0,0,0
575,0,25,17310,1,12,0,0,0,0,0
6540,0,53,49452,2,12,0,1,1,0,1
-449,0,36,8640,3,12,0,1,0,0,0
0,0,26,5280,1,12,0,1,0,0,0
0,0,31,8670,4,12,0,0,1,0,0
-1600,0,53,21816,1,10,0,0,0,1,0
2750,0,60,58830,2,16,0,1,1,1,0
-200,0,43,14070,4,4,0,1,1,0,0
-551,0,49,21648,3,12,0,1,0,0,0
1400,0,25,37257,2,18,0,1,1,0,1
-8300,0,42,17952,3,12,0,0,0,1,0
-1900,0,31,22011,7,9,0,1,1,0,0
-1000,0,48,30240,2,12,0,1,1,0,1
5021,0,54,9600,3,12,0,1,1,0,0
4035,0,53,28317,2,11,0,1,1,0,0
-6000,0,42,16338,4,12,0,0,0,0,0
0,0,32,19200,1,14,0,0,0,0,0
-4470,0,42,53205,5,6,0,1,1,0,1
1100,0,52,27465,4,16,0,1,1,1,0
0,0,46,4800,2,12,0,0,0,0,0
-1701,0,39,33300,4,12,0,1,1,0,1
40000,0,46,160200,6,14,1,1,1,0,1
-15718,0,55,39528,2,10,1,0,1,1,1
16350,0,63,25611,2,9,0,1,1,0,0
83,0,43,32316,4,10,0,0,1,1,1
10055,0,34,41757,4,12,1,1,1,0,0
-19565,0,32,13800,1,18,0,0,0,0,0
30000,0,55,8850,2,4,0,1,0,0,0
0,0,36,17280,3,12,0,0,0,0,0
0,0,33,11340,4,14,0,0,0,0,0
-460,0,46,7767,5,12,0,1,1,0,0
125199,0,56,57984,2,16,1,1,1,1,1
